URL,Status,Title,MetaDescription,Canonical,HreflangCount,JSONLD_Types,LocaleGuess,OrgName,OrgLogo,PublisherName,PublisherLogo
https://nrlc.ai/,200,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization","NRLC.ai engineers crawl clarity, structured data, and LLM seeding strategies. GEO-16 framework for AI engine optimization across major cities.",http://nrlc.ai/,7,Organization|WebSite|BreadcrumbList|WebSite|Service|LocalBusiness|FAQPage,,NRLC.ai,http://nrlc.ai/assets/logo.png,NRLC.ai,
https://nrlc.ai/en-us/services/crawl-clarity/new-york/,200,"Crawl Clarity Engineering in new-york | NRLC.ai AI SEO","Professional Crawl Clarity Engineering services in new-york. GEO-16 framework, structured data optimization, and AI engine citation readiness.",http://nrlc.ai/services/crawl-clarity/new-york/,7,Organization|WebSite|BreadcrumbList|Service|LocalBusiness|FAQPage,en-us,NRLC.ai,http://nrlc.ai/assets/logo.png,,
https://nrlc.ai/en-us/services/crawl-clarity/los-angeles/,200,"Crawl Clarity Engineering in los-angeles | NRLC.ai AI SEO","Professional Crawl Clarity Engineering services in los-angeles. GEO-16 framework, structured data optimization, and AI engine citation readiness.",http://nrlc.ai/services/crawl-clarity/los-angeles/,7,Organization|WebSite|BreadcrumbList|Service|LocalBusiness|FAQPage,en-us,NRLC.ai,http://nrlc.ai/assets/logo.png,,
https://nrlc.ai/en-us/services/crawl-clarity/chicago/,200,"Crawl Clarity Engineering in chicago | NRLC.ai AI SEO","Professional Crawl Clarity Engineering services in chicago. GEO-16 framework, structured data optimization, and AI engine citation readiness.",http://nrlc.ai/services/crawl-clarity/chicago/,7,Organization|WebSite|BreadcrumbList|Service|LocalBusiness|FAQPage,en-us,NRLC.ai,http://nrlc.ai/assets/logo.png,,
https://nrlc.ai/en-us/services/crawl-clarity/houston/,200,"Crawl Clarity Engineering in houston | NRLC.ai AI SEO","Professional Crawl Clarity Engineering services in houston. GEO-16 framework, structured data optimization, and AI engine citation readiness.",http://nrlc.ai/services/crawl-clarity/houston/,7,Organization|WebSite|BreadcrumbList|Service|LocalBusiness|FAQPage,en-us,NRLC.ai,http://nrlc.ai/assets/logo.png,,
https://nrlc.ai/en-us/services/crawl-clarity/phoenix/,200,"Crawl Clarity Engineering in phoenix | NRLC.ai AI SEO","Professional Crawl Clarity Engineering services in phoenix. GEO-16 framework, structured data optimization, and AI engine citation readiness.",http://nrlc.ai/services/crawl-clarity/phoenix/,7,Organization|WebSite|BreadcrumbList|Service|LocalBusiness|FAQPage,en-us,NRLC.ai,http://nrlc.ai/assets/logo.png,,
https://nrlc.ai/en-us/services/crawl-clarity/philadelphia/,200,"Crawl Clarity Engineering in philadelphia | NRLC.ai AI SEO","Professional Crawl Clarity Engineering services in philadelphia. GEO-16 framework, structured data optimization, and AI engine citation readiness.",http://nrlc.ai/services/crawl-clarity/philadelphia/,7,Organization|WebSite|BreadcrumbList|Service|LocalBusiness|FAQPage,en-us,NRLC.ai,http://nrlc.ai/assets/logo.png,,
https://nrlc.ai/en-us/services/crawl-clarity/san-antonio/,200,"Crawl Clarity Engineering in san-antonio | NRLC.ai AI SEO","Professional Crawl Clarity Engineering services in san-antonio. GEO-16 framework, structured data optimization, and AI engine citation readiness.",http://nrlc.ai/services/crawl-clarity/san-antonio/,7,Organization|WebSite|BreadcrumbList|Service|LocalBusiness|FAQPage,en-us,NRLC.ai,http://nrlc.ai/assets/logo.png,,
https://nrlc.ai/en-us/services/crawl-clarity/san-diego/,200,"Crawl Clarity Engineering in san-diego | NRLC.ai AI SEO","Professional Crawl Clarity Engineering services in san-diego. GEO-16 framework, structured data optimization, and AI engine citation readiness.",http://nrlc.ai/services/crawl-clarity/san-diego/,7,Organization|WebSite|BreadcrumbList|Service|LocalBusiness|FAQPage,en-us,NRLC.ai,http://nrlc.ai/assets/logo.png,,
https://nrlc.ai/en-us/services/crawl-clarity/dallas/,200,"Crawl Clarity Engineering in dallas | NRLC.ai AI SEO","Professional Crawl Clarity Engineering services in dallas. GEO-16 framework, structured data optimization, and AI engine citation readiness.",http://nrlc.ai/services/crawl-clarity/dallas/,7,Organization|WebSite|BreadcrumbList|Service|LocalBusiness|FAQPage,en-us,NRLC.ai,http://nrlc.ai/assets/logo.png,,
https://nrlc.ai/en-us/services/crawl-clarity/san-jose/,200,"Crawl Clarity Engineering in san-jose | NRLC.ai AI SEO","Professional Crawl Clarity Engineering services in san-jose. GEO-16 framework, structured data optimization, and AI engine citation readiness.",http://nrlc.ai/services/crawl-clarity/san-jose/,7,Organization|WebSite|BreadcrumbList|Service|LocalBusiness|FAQPage,en-us,NRLC.ai,http://nrlc.ai/assets/logo.png,,
